0,0: 	 D0: 	 1 				D1: 	 65 
1,0: 	 D0: 	 17 				D1: 	 81 
2,0: 	 D0: 	 33 				D1: 	 97 
3,0: 	 D0: 	 49 				D1: 	 113 
0,1: 	 D0: 	 2 				D1: 	 66 
1,1: 	 D0: 	 18 				D1: 	 82 
2,1: 	 D0: 	 34 				D1: 	 98 
3,1: 	 D0: 	 50 				D1: 	 114 
0,2: 	 D0: 	 3 				D1: 	 67 
1,2: 	 D0: 	 19 				D1: 	 83 
2,2: 	 D0: 	 35 				D1: 	 99 
3,2: 	 D0: 	 51 				D1: 	 115 
0,3: 	 D0: 	 4 				D1: 	 68 
1,3: 	 D0: 	 20 				D1: 	 84 
2,3: 	 D0: 	 36 				D1: 	 100 
3,3: 	 D0: 	 52 				D1: 	 116 
0,4: 	 D0: 	 5 				D1: 	 69 
1,4: 	 D0: 	 21 				D1: 	 85 
2,4: 	 D0: 	 37 				D1: 	 101 
3,4: 	 D0: 	 53 				D1: 	 117 
0,5: 	 D0: 	 6 				D1: 	 70 
1,5: 	 D0: 	 22 				D1: 	 86 
2,5: 	 D0: 	 38 				D1: 	 102 
3,5: 	 D0: 	 54 				D1: 	 118 
0,6: 	 D0: 	 7 				D1: 	 71 
1,6: 	 D0: 	 23 				D1: 	 87 
2,6: 	 D0: 	 39 				D1: 	 103 
3,6: 	 D0: 	 55 				D1: 	 119 
0,7: 	 D0: 	 8 				D1: 	 72 
1,7: 	 D0: 	 24 				D1: 	 88 
2,7: 	 D0: 	 40 				D1: 	 104 
3,7: 	 D0: 	 56 				D1: 	 120 
0,8: 	 D0: 	 9 				D1: 	 73 
1,8: 	 D0: 	 25 				D1: 	 89 
2,8: 	 D0: 	 41 				D1: 	 105 
3,8: 	 D0: 	 57 				D1: 	 121 
0,9: 	 D0: 	 10 				D1: 	 74 
1,9: 	 D0: 	 26 				D1: 	 90 
2,9: 	 D0: 	 42 				D1: 	 106 
3,9: 	 D0: 	 58 				D1: 	 122 
0,10: 	 D0: 	 11 				D1: 	 75 
1,10: 	 D0: 	 27 				D1: 	 91 
2,10: 	 D0: 	 43 				D1: 	 107 
3,10: 	 D0: 	 59 				D1: 	 123 
0,11: 	 D0: 	 12 				D1: 	 76 
1,11: 	 D0: 	 28 				D1: 	 92 
2,11: 	 D0: 	 44 				D1: 	 108 
3,11: 	 D0: 	 60 				D1: 	 124 
0,12: 	 D0: 	 13 				D1: 	 77 
1,12: 	 D0: 	 29 				D1: 	 93 
2,12: 	 D0: 	 45 				D1: 	 109 
3,12: 	 D0: 	 61 				D1: 	 125 
0,13: 	 D0: 	 14 				D1: 	 78 
1,13: 	 D0: 	 30 				D1: 	 94 
2,13: 	 D0: 	 46 				D1: 	 110 
3,13: 	 D0: 	 62 				D1: 	 126 
0,14: 	 D0: 	 15 				D1: 	 79 
1,14: 	 D0: 	 31 				D1: 	 95 
2,14: 	 D0: 	 47 				D1: 	 111 
3,14: 	 D0: 	 63 				D1: 	 127 
0,15: 	 D0: 	 16 				D1: 	 80 
1,15: 	 D0: 	 32 				D1: 	 96 
2,15: 	 D0: 	 48 				D1: 	 112 
3,15: 	 D0: 	 64 				D1: 	 128 
0,16: 	 D0: 	 129 				D1: 	 193 
1,16: 	 D0: 	 145 				D1: 	 209 
2,16: 	 D0: 	 161 				D1: 	 225 
3,16: 	 D0: 	 177 				D1: 	 241 
0,17: 	 D0: 	 130 				D1: 	 194 
1,17: 	 D0: 	 146 				D1: 	 210 
2,17: 	 D0: 	 162 				D1: 	 226 
3,17: 	 D0: 	 178 				D1: 	 242 
0,18: 	 D0: 	 131 				D1: 	 195 
1,18: 	 D0: 	 147 				D1: 	 211 
2,18: 	 D0: 	 163 				D1: 	 227 
3,18: 	 D0: 	 179 				D1: 	 243 
0,19: 	 D0: 	 132 				D1: 	 196 
1,19: 	 D0: 	 148 				D1: 	 212 
2,19: 	 D0: 	 164 				D1: 	 228 
3,19: 	 D0: 	 180 				D1: 	 244 
0,20: 	 D0: 	 133 				D1: 	 197 
1,20: 	 D0: 	 149 				D1: 	 213 
2,20: 	 D0: 	 165 				D1: 	 229 
3,20: 	 D0: 	 181 				D1: 	 245 
